player,college_3_point_percentage,college_career_free_throw_percentage,nba_career_3_point_percentage
Allen Crabbe,0.382,0.819,0.393
Victor Oladipo,0.338,0.716,0.352
Jordan Crawford,0.384,0.765,0.317
Collin Sexton,0.336,0.778,0.402
Doug McDermott,0.458,0.831,0.404
Terry Rozier,0.331,0.772,0.354
Paul George,0.396,0.803,0.364
Reggie Jackson,0.351,0.753,0.321
Damyean Dotson,0.412,0.832,0.361
Patrick Beverly,0.382,0.73,0.376
Darius Miller,0.379,0.815,0.382
Marcus Smart,0.295,0.751,0.311
Otto Porter Jr.,0.355,0.751,0.405
Draymond Green,0.361,0.687,0.327
Jaylen Brown,0.294,0.654,0.364
Quinn Cook,0.375,0.853,0.411
D.J. Augustin,0.402,0.808,0.377
Chasson Randle,0.386,0.806,0.383
Omari Spellman,0.433,0.7,0.341
Malcolm Brogdon,0.365,0.876,0.407
Justin Anderson,0.357,0.572,0.302
Alec Burks,0.313,0.804,0.36
Jodie Meeks,0.386,0.89,0.373
Wesley Matthews,0.341,0.799,0.393
Kyle Kuzma,0.302,0.633,0.335
Kyle Korver,0.453,0.891,0.404
Dillon Brooks,0.362,0.794,0.363
Frank Jackson,0.395,0.755,0.325
Taurean Prince,0.376,0.718,0.378
Ryan Arcidiacono,0.358,0.8,0.369
D'Angelo Russell,0.411,0.756,0.353
Ben McLemore,0.42,0.87,0.354
CJ McCollum,0.377,0.825,0.401
Kris Dunn,0.354,0.693,0.317
T.J. McConnell,0.38,0.749,0.333
J.J. Barea,0.321,0.764,0.358
E'Twaun Moore,0.38,0.729,0.369
Frank Mason III,0.42,0.761,0.3
Jalen Brunson,0.393,0.82,0.344
Justin Jackson,0.34,0.712,0.336
Solomon Hill,0.375,0.745,0.329
Wesley Iwundu,0.338,0.688,0.302
Bryn Forbes,0.435,0.821,0.407
Chris Paul,0.47,0.838,0.359
Jeremy Lamb,0.348,0.806,0.336
Gordon Hayward,0.369,0.824,0.36
Terrence Ross,0.364,0.764,0.371
Cory Joseph,0.413,0.699,0.317
Fred VanVleet,0.386,0.805,0.395
Austin Rivers,0.365,0.658,0.355
Isaiah Thomas,0.325,0.713,0.367
Luke Babbitt,0.421,0.893,0.403
Rodney Hood,0.396,0.773,0.369
Klay Thompson,0.39,0.827,0.419
Jeff Green,0.359,0.7,0.344
Tim Hardaway Jr. ,0.343,0.724,0.343
Gary Harris,0.376,0.788,0.365
Jared Dudley,0.365,0.731,0.405
Kevin Huerter,0.394,0.748,0.385
Zach Lavine,0.375,0.691,0.373